name, 35.5cl , category , subcategory , supplier ,size, style ,"5% DISCOUNT = 
Buying Price ",price, %profit ,perc_alcholas, fermentation , color  ,aromas, taste ,flavors,recommended,features
 Isseki nicho   , € 4.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, saison , € 3.80 ,4.4, € 15.79 ,10, Fermentation Haut  , Noire ,"d’agrumes, de pain grillé, chocolat, herbe, réglisse, café; fraîcheur et gourmandise en alternance",Idem en bouche; rondeur et plénitude; amertume puissante qui donne une longueur record, n.a , na , n.a 
Pécher mortel  , € 5.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, Stout , € 4.75 ,5.5,15.7894736842,9.50, Fermentation Haut  ,Noire,Les arômes de torréfaction prononcés s’amalgament avec justesse au puissant goût du café,"La finale est amère, légèrement astringente et persistante ",n.a,n.a,
 Dernière volonté brett , € 5.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, sour Wild Ale , € 4.75 ,5.5, € 15.79 ,7.0, n.a ,,,,,,
Blanche du Paradis, € 3.60 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, blanche belge  , € 3.42 ,s,,5.5, Fermentation Haut  ,Blanche ,Parfumée à la coriandre et aux écorces d’orange Curaçao,"En bouche, elle révèle un délicat bouquet d’agrumes et d’épices, soutenu par des arômes de pain grillé. Rafraîchissante, avec de de subtiles notes d’acidité",n.a,n.a,
Moralité, € 4.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, American IPA , € 3.80 ,#VALUE!,,6.9, Fermentation Haut  ,Blanche ,"Très houblonnée, cette bière se distingue par une finale sèche, aromatique et légèrement résineuse", les fruits tropicaux et laissant apparaître une amertume tranchante. ,n.a,n.a,
La morsure , € 4.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, IPA , € 3.80 ,#VALUE!,#VALUE!,6.5, Fermentation Haut  ,Ambrée,n.a,n.a,n.a,n.a,
Bella Ciao, € 4.50 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, White Saison  , € 4.28 ,4.95,,5.0, Fermentation Haut  ,Blanche ,n.a,n.a,n.a,n.a,
Dubai pillée  , € 5.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, IPA , € 4.75 ,5.5,15.7894736842,9.0, Fermentation Haut  ,Ambrée,"Nez exotique dominé par la mangue, le fruit de la passion et l’abricot.","Equilibre entre le malt sucré et les fruits confits en bouche, avec une finale à la fois douce et amère. ",n.a,n.a,
KBS   , € 7.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Imperial Stout, € 6.65 ,7.7,15.7894736842,11.9,Fermentation Haute,Noire,coffee et chocolate ,n.a,n.a,n.a,
Centiennial , € 4.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,ipa, € 3.80 ,4.4,15.7894736842,7.2,Fermentation Haute,Ambrée,Accents citrus de l'abondance du saut à sec,Les méchants méchants se serrent la main avec le personnage du houblon pour une finition qui ne devient jamais trop amère,n.a,n.a,
All day , € 3.60 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,ipa, € 3.42 ,3.996,16.8421052632,4.7,Fermentation Haute,Ambrée,"malts, grains and hops",n.a,n.a,n.a,
Pinner   , € 4.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Session IPA , € 3.80 ,#VALUE!,#VALUE!,4.9,Fermentation Haute,Ambrée,Sauté de fruits sucrés et de pin et de pamplemousse,n.a ,n.a,n.a,
Ipa     ,4.5, Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,ipa,4.275,4.995,16.8421052632,6.4,,,,,,,
Hotbox  coffe , € 5.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,IPA, € 4.75 ,#VALUE!,#VALUE!,7.2,Fermentation Haute,Ambrée,"Les citrouilles, les pins et le houblon à la résine, le café étant à peine perceptible sur le nez",n.a,Citrouille amère et houblon de pin avec des notes de rôti et de café,n.a,
Devian’s dale, € 5.50 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,IPA, € 5.23 ,#VALUE!,#VALUE!,8.0,Fermentation Haute,Ambrée,"Pin, malt, orange et houblon","Caramel, pêche, résine et pamplemousse",n.a,n.a,
Bengali   , € 4.50 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,IPA, € 4.28 ,4.995,16.8421052632,6.5,Fermentation Haute,Ambrée,"Malt, une touche de hoppiness herbeuse","Encore malsain, avec une finition herbe et herbes",n.a,n.a,
Global warmer    , € 4.50 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Amber Ale, € 4.28 ,4.995,16.8421052632,7.0,Fermentation Haute,Ambrée,"Notes de houblon à la résine, notes peachy légères et présence maléfique","Astringence sur le palais, sensation de bouche crémeuse","Résines et notes de pin, amertume moyenne à haute",n.a,
Rosé de gambrinus, € 8.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Lambic - Fruit, € 7.60 ,#VALUE!,#VALUE!,5.0,n.a,Rubis,Arômes de lambic et de framboises,Légères saveurs de framboises équilibrées par l'acidité du Lambic,n.a,n.a,
Gueuze classique bio, € 6.50 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Gueuze, € 6.18 ,#VALUE!,#VALUE!,5.0,n.a,Blonde,Fruits et agrumes à chair légère,Fruité et aigre,n.a,n.a,
Quetche , € 9.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, Gueuze aux fruits , € 8.55 ,#VALUE!,#VALUE!,6.4, n.a ,n.a,"Au nez, on perçoit un parfum d’alcool de prunes.","Son goût est suret et acidulé mais présente un côté fruité et rond, mais également un légère sècheresse provenant de la peau des prunes","Des saveurs de fruits tropicaux, de houblons résineux en compétition avec une structure de malt doux, se terminant sur une amertume rauque et progressive. ",n.a,n.a
Quetche au prune denamu, € 9.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, Gueuze aux fruits , € 8.55 ,#VALUE!,#VALUE!,6.4, n.a ,n.a," Au nez et en bouche, on perçoit de douces notes de mûres.","Son goût est suret et présente un côté fruité et rond, mais également un légère sècheresse provenant de la peau des mûres et de la jeunesse des fûts de chêne employés",,n.a,n.a
Mure , € 10.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5, Gueuze , € 9.50 ,#VALUE!,#VALUE!,4.0, n.a ,n.a, Elle a un nez citronné et frais.,"Son goût est suret et sec mais présente une certaine rondeur, ainsi qu’une légère amertume sèche en raison de la jeunesse des fûts de chêne employés, ceux-ci libérant encore quelques tanins.",,n.a,n.a
Gueuze tilquin , € 8.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Gueuze, € 7.60 ,#VALUE!,#VALUE!,6.4,Fermentation Spontanée,n.a,Citronnée et fraîche,n.a,"Suret, légère amertume sèche",n.a,
Oude Kriek , € 9.00 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Lambic - Fruit, € 8.55 ,#VALUE!,#VALUE!,6.0,n.a,Rubis,Parfums de cerises et acidité.,Cerises aigres et bois.,n.a,n.a,n.a
Bon vœux , € 3.60 , Biéres Artisanales , Bouteilles , Chez Alan  ,35.5,Abbey tripple, € 3.42 ,3.996,16.8421052632,9.50,Fermentation Haute,Blonde,"Les notes incluent les poires, les noix, la banane, la maison de grange funk, la levure poivrée","pear, apple, grass clippings, peppery yeast, and slightly hoppy. Finish is dry, mouth feel is clean and the high ABV is well hidden",n.a,n.a,n.a
