name,category ,supplier,subcategory,description ,price
Pack de Stout ,Biéres Artisanales,Chez Alan,Assortiment,"Les amateurs de bières crafts ne pourront pas résister à cette sélection pure Stout, aux notes de  chocolat et de café. Sa réputation a commencé en Grande-Bretagne et s’est vite exporté En Russie, ou l’Impératrice Catherine II la Grande en est devenu une fan invétérée ! ",26
Pack Ipa  ,Biéres Artisanales,Chez Alan,Assortiment,"Une bière mythique, qui vous fera voyager en Angleterre, pays de sa création. Cet assortiment  vous apportera fraîcheur et notes fruités. Idéales pour une fin de journée ensoleillée !",22
Pack Triple Belge ,Biéres Artisanales,Chez Alan,Assortiment,"Tout a commencé en Belgique, dans les abbayes ou l’on brassait la Tripel. Une bière d’exception, plus forte en malt que la simple ou la double. Parfait pour découvrir ou redécouvrir ces bières de renommé mondiale. ",23
Pack Pale Ale ,Biéres Artisanales,Chez Alan,Assortiment,Une fraîcheur et des notes fruitées reconnaissables entre toutes : la sélection Pale Ale vous apporteras une moment de détente et de légèreté. Envolez-vous !,22
Pack Bretonne ,Biéres Artisanales,Chez Alan,Assortiment,Un pack emblématique de notre belle Bretagne : dégustez des bières faites avec des produits locaux. La craft beer spécial région ;),22
Pack Française ,Biéres Artisanales,Chez Alan,Assortiment,"Oui ! Notre belle nation nous offre plétore de choix de bières artisanales, toutes les unes plus succulentes que les autres ! Les brasseries françaises ont beaucoup à vous offrir.  ",22
Pack Anglaise ,Biéres Artisanales,Chez Alan,Assortiment,"God save the craft beer » disait la Reine d’Angleterre, on lui donne raison ! Traverser la Manche pour découvrir la créativité brassicole débordante de nos amis Anglais",22
Pack Tout styles ,Biéres Artisanales,Chez Alan,Assortiment,"Tout spécialement crée pour vous, cet assortiment vous permettra de découvrir des styles de bières différents issues de brasseries triplement approuvées ! Composé d’une blanche, une ambrée, trois types de blondes, les néophytes comme les amateurs apprécieront la variété de choix de ce pack.",21
Pack Nouveautés ,Biéres Artisanales,Chez Alan,Assortiment,"Avec des milliers de brasseries réputées à travers le globe, difficile de pouvoir goûter à toutes ces succulentes bières ! Plus de stress, ServiFrais vous propose tous les mois un arrivage tout frais des meilleures nouveautés !  N’hésitez pas à vous abonner pour ne plus les manquer ! ",30
"Pack Bières fraîches (tous styles, IPA)",Biéres Artisanales,Chez Alan,Assortiment,"Une bière, là, maintenant, tout de suite ? Oui, c’est possible ! Nos frigos sont là pour être dévalisés, alors profitez-en J Plus besoin de boire sa bière tiède, elle peut être chez vous plus fraîche que jamais en 1h ! ",22
Pack  de Partage ,Biéres Artisanales,Chez Alan,Assortiment,"Envie d’apprécier sa bière préférée plus longtemps ? De faire une dégustation pour vos amis récemment happés par la soif de la bière craft ? La pack Partage est là pour ça. C’est convivial, c’est pratique et en plus c’est bon ! Que de demander de plus ? Laissez-nous un commentaire pour nous en faire part !",41
Pack Cannettes,Biéres Artisanales,Chez Alan,Assortiment,"Alors oui, les cannettes c’est différent. C’est aussi une nouvelle manière de déguster la bière : en protégeant mieux de l’oxygène que la bouteille de verre, l’équilibre bulles et goût est différent. Le mieux, c’est de goûter ! Donnez-nous vos impressions sur ce contenant revenant en force ! PS : les brasseries artisanales sont respectueuses de l’environnement, leurs cannettes sont 100% recyclables.",25
Pack Après-midi tranquille (moins de dégré alcool),Biéres Artisanales,Chez Alan,Assortiment,Un pack tout en légèreté avec un taux d’alcool inférieur à 5%. Idéal pour les envies de fraîcheur le midi ou simplement booster votre créativité !,22
Pack corse Beuverie,Biéres Artisanales,Chez Alan,Assortiment,"Vous êtes amateur de bières fortes ou souhaitez découvrir des goûts différents? Avec plus de 9% d’alcool par bières, ce pack vous surprendra !",32
Pack  corse Beuverie Grand format,Biéres Artisanales,Chez Alan,Assortiment,"Vous êtes amateur de bières fortes ou souhaitez découvrir des goûts différents? Avec plus de 9% d’alcool par bières, ce pack vous surprendra !",48
